,X,Y,AP1 RTT(mm),AP2 RTT(mm),AP3 RTT(mm),AP4 RTT(mm),AP5 RTT(mm),AP6 RTT(mm),AP7 RTT(mm),AP8 RTT(mm),AP9 RTT(mm),AP10 RTT(mm),AP11 RTT(mm),AP12 RTT(mm),AP13 RTT(mm),AP1 RSS(dBm),AP2 RSS(dBm),AP3 RSS(dBm),AP4 RSS(dBm),AP5 RSS(dBm),AP6 RSS(dBm),AP7 RSS(dBm),AP8 RSS(dBm),AP9 RSS(dBm),AP10 RSS(dBm),AP11 RSS(dBm),AP12 RSS(dBm),AP13 RSS(dBm),LOS APs
0,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27607.0,21902.0,12635.0,5018.0,8651.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-90.0,-100.0,-76.0,-59.0,-63.0,None
1,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27541.0,19770.0,12707.0,4987.0,8648.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-91.0,-98.0,-76.0,-60.0,-65.0,None
2,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27523.0,100000.0,12670.0,5048.0,8559.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-92.0,-200.0,-77.0,-60.0,-65.0,None
3,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27166.0,100000.0,12679.0,4992.0,8501.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-92.0,-200.0,-77.0,-60.0,-65.0,None
4,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27398.0,19770.0,12679.0,5140.0,8215.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-91.0,-98.0,-76.0,-61.0,-65.0,None
5,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27088.0,100000.0,12670.0,4964.0,8616.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-91.0,-200.0,-77.0,-60.0,-65.0,None
6,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27520.0,19554.0,12632.0,4987.0,8376.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-92.0,-101.0,-77.0,-61.0,-66.0,None
7,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27638.0,100000.0,12720.0,4985.0,8610.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-92.0,-200.0,-77.0,-60.0,-65.0,None
8,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,26807.0,100000.0,12635.0,100000.0,8254.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-92.0,-200.0,-76.0,-200.0,-66.0,None
9,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,26926.0,20613.0,12723.0,5053.0,8562.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-92.0,-97.0,-77.0,-60.0,-65.0,None
10,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27407.0,100000.0,12716.0,5016.0,8576.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-92.0,-200.0,-77.0,-61.0,-65.0,None
11,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27201.0,20013.0,12676.0,4987.0,8494.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-91.0,-99.0,-77.0,-60.0,-65.0,None
12,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27476.0,20707.0,12670.0,5100.0,8569.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-91.0,-99.0,-76.0,-61.0,-65.0,None
13,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27010.0,26566.0,12723.0,100000.0,8627.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-92.0,-97.0,-77.0,-200.0,-65.0,None
14,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27244.0,20501.0,12673.0,4992.0,8651.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-91.0,-99.0,-77.0,-60.0,-65.0,None
15,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27579.0,19798.0,12673.0,4992.0,8610.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-92.0,-101.0,-77.0,-60.0,-65.0,None
16,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27601.0,25638.0,12601.0,4570.0,8585.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-92.0,-103.0,-77.0,-59.0,-65.0,None
17,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27640.0,100000.0,12632.0,3487.0,8445.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-92.0,-200.0,-77.0,-60.0,-65.0,None
18,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27612.0,100000.0,12629.0,4875.0,8273.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-92.0,-200.0,-76.0,-60.0,-66.0,None
19,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27663.0,21766.0,12670.0,4964.0,7945.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-93.0,-100.0,-76.0,-60.0,-65.0,None
20,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27555.0,20130.0,12598.0,4994.0,8304.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-91.0,-98.0,-76.0,-60.0,-66.0,None
21,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27273.0,26463.0,12632.0,5060.0,8451.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-90.0,-101.0,-76.0,-60.0,-66.0,None
22,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27160.0,22713.0,12566.0,5046.0,8488.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-92.0,-102.0,-77.0,-60.0,-65.0,None
23,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,26938.0,21420.0,12629.0,5072.0,7866.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-91.0,-98.0,-76.0,-60.0,-66.0,None
24,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,26929.0,100000.0,12563.0,5098.0,8298.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-92.0,-200.0,-76.0,-60.0,-65.0,None
25,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27485.0,100000.0,12670.0,5016.0,7869.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-92.0,-200.0,-77.0,-60.0,-65.0,None
26,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27045.0,21185.0,12629.0,5051.0,7960.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-91.0,-98.0,-76.0,-60.0,-66.0,None
27,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27404.0,22479.0,12560.0,5023.0,8341.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-92.0,-101.0,-77.0,-60.0,-65.0,None
28,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27051.0,20970.0,12716.0,5046.0,8072.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-91.0,-99.0,-76.0,-60.0,-66.0,None
29,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,26888.0,25048.0,12754.0,5072.0,8386.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-91.0,-102.0,-77.0,-59.0,-65.0,None
30,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27051.0,21204.0,12716.0,4924.0,8437.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-91.0,-99.0,-76.0,-60.0,-67.0,None
31,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27135.0,27054.0,12588.0,5074.0,8444.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-92.0,-98.0,-76.0,-59.0,-66.0,None
32,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27160.0,22460.0,12679.0,4957.0,8496.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-91.0,-101.0,-76.0,-60.0,-65.0,None
